dbn,schoolName,network,district,K-4discharge,K-4julyOct,K-4enrollment,K-4adjustedEnrollment,K-4attritionRate,K-4district,6-7discharge,6-7julyOct,6-7enrollment,6-7adjustedEnrollment,6-7attritionRate,6-7district,9-11discharge,9-11julyOct,9-11enrollment,9-11adjustedEnrollment,9-11attritionRate,9-11district
84M482,Success Academy Charter School - Harlem 5,Success,5,24,12,436,448,0.053571429,0.242731707,0,0,0,0,,,0,0,0,0,,
84K367,Success Academy Charter School - Bed-Stuy 1,Success,14,51,28,400,428,0.119158879,0.12355265,0,0,0,0,,,0,0,0,0,,
84K744,Coney Island Preparatory Public Charter School,,21,0,0,0,0,,,12,8,179,187,0.064171123,0.0604782,8,5,89,94,0.085106383,0.124133714
84Q341,Riverton Street Charter School,NationalHeritageAcademies,29,21,14,520,534,0.039325843,0.159374552,0,0,54,54,0,,0,0,0,0,,
84K791,Brooklyn Dreams Charter School,NationalHeritageAcademies,22,23,12,406,418,0.055023923,0.11839732,0,0,9,9,0,,0,0,0,0,,
84M170,Success Academy Hell's Kitchen (Manhattan 2),Success,2,13,4,140,144,0.090277778,0.112802983,0,0,0,0,,,0,0,0,0,,
84M388,St. HOPE Leadership Academy Charter School,,5,0,0,0,0,,,26,14,164,178,0.146067416,0.154559505,0,0,0,0,,
84K752,Success Academy Fort Greene (Brooklyn 5),Success,13,20,5,136,141,0.141843972,0.179445107,0,0,0,0,,,0,0,0,0,,
84M524,Innovate Manhattan Charter School,,,0,0,0,0,,,17,12,93,105,0.161904762,,0,0,0,0,,
84K357,KIPP AMP Charter School,Kipp,17,6,1,104,105,0.057142857,0.212330889,16,10,180,190,0.084210526,0.118968598,3,3,82,85,0.035294118,0.14781362
84M174,Success Academy Union Square (Manhattan 1),Success,2,9,3,126,129,0.069767442,0.112802983,0,0,0,0,,,0,0,0,0,,
84X407,Bronx Charter School for Children,,7,37,27,354,381,0.097112861,0.182428872,0,0,0,0,,,0,0,0,0,,
84X487,Girls Preparatory Charter School of the Bronx,PublicPrep,8,38,30,375,405,0.09382716,0.164311796,0,0,0,0,,,0,0,0,0,,
84X730,Bronx Charter School for the Arts,,8,25,20,271,291,0.085910653,0.164311796,1,1,0,1,,,0,0,0,0,,
84K648,Bedford Stuyvesant Collegiate Charter School,UncommonSchools,16,0,0,0,0,,,18,14,146,160,0.1125,0.181589958,6,4,69,73,0.082191781,0.220415031
84K759,CANARSIE ASCEND CHARTER SCHOOL,Ascend,18,26,15,207,222,0.117117117,0.16003206,0,0,0,0,,,0,0,0,0,,
84Q298,Middle Village Prep Charter School,,24,0,0,0,0,,,9,2,120,122,0.073770492,0.062908497,0,0,0,0,,
84X488,The Equality Charter School,,11,0,0,0,0,,,9,5,159,164,0.054878049,0.113973931,0,0,0,0,,
84K649,La Cima Charter School,,16,31,24,336,360,0.086111111,0.257901086,0,0,0,0,,,0,0,0,0,,
84X387,Brilla College Prep Charter School,,7,10,5,202,207,0.048309179,0.182428872,0,0,0,0,,,0,0,0,0,,
84M202,Great Oaks Charter School,,1,0,0,0,0,,,23,8,89,97,0.237113402,0.096470588,0,0,0,0,,
84M065,Democracy Prep Endurance Charter School,DemocracyPrep,5,0,0,0,0,,,12,6,222,228,0.052631579,0.154559505,0,0,0,0,,
84X364,South Bronx Classical Charter School II,,7,8,6,100,106,0.075471698,0.182428872,0,0,0,0,,,0,0,0,0,,
84K689,Citizens of the World Charter School 1,CitizensOfTheWorld,14,22,8,81,89,0.247191011,0.12355265,0,0,0,0,,,0,0,0,0,,
84Q083,Central Queens Academy Charter School,,24,0,0,0,0,,,8,5,105,110,0.072727273,0.062908497,0,0,0,0,,
84K517,Leadership Prep Bedford Stuyvesant Charter School,UncommonSchools,13,35,27,423,450,0.077777778,0.179445107,18,15,94,109,0.165137615,0.122933884,0,0,0,0,,
84K741,Success Academy Crown Heights (Brooklyn 7),Success,17,23,9,145,154,0.149350649,0.212330889,0,0,0,0,,,0,0,0,0,,
84X233,Family Life Academy Charter School II,,7,16,10,145,155,0.103225806,0.182428872,0,0,0,0,,,0,0,0,0,,
84X202,New Visions Charter High School for Advanced Math and Science II,NewVisionsForPublicSchools,8,0,0,0,0,,,0,0,0,0,,,30,19,234,253,0.118577075,0.198213289
84X133,Icahn Charter School 6,Icahn,9,4,4,145,149,0.026845638,0.194560427,0,0,0,0,,,0,0,0,0,,
84M100,Neighborhood Charter School of Harlem,,5,31,16,213,229,0.135371179,0.242731707,0,0,0,0,,,0,0,0,0,,
84X124,Children's Aid College Prep Charter School,,12,14,8,208,216,0.064814815,0.196722796,0,0,0,0,,,0,0,0,0,,
84K710,Brownsville Collegiate Charter School,UncommonSchools,23,0,0,0,0,,,17,14,155,169,0.100591716,0.159210526,5,2,44,46,0.108695652,0.227781048
84X380,Success Academy Charter School - Bronx 3,Success,8,15,5,204,209,0.071770335,0.164311796,0,0,0,0,,,0,0,0,0,,
84K730,Summit Academy Charter School,,15,0,0,0,0,,,7,7,92,99,0.070707071,0.055401662,19,6,123,129,0.147286822,0.136150235
84K738,New Visions Charter High School for Advanced Math and Science III,NewVisionsForPublicSchools,22,0,0,0,0,,,0,0,0,0,,,7,3,128,131,0.053435115,0.101812233
84K724,Leadership Prep Canarsie Charter School (Leadership Prep CS 4),UncommonSchools,18,2,1,56,57,0.035087719,0.16003206,0,0,0,0,,,0,0,0,0,,
84K739,New Visions Charter High School for the Humanities III,,22,0,0,0,0,,,0,0,0,0,,,9,3,120,123,0.073170732,0.101812233
84M068,KIPP Washington Heights Middle School,Kipp,6,0,0,0,0,,,1,0,103,103,0.009708738,0.082756786,0,0,0,0,,
